"Source:","/home/mxmont/Documents/Work/Armada/power_board/power_board.kicad_sch"
"Date:","dom 27 mar 2022 22:21:43"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","134"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","J9","MS168-10F","Device:RFShield_TwoPieces","RF_Shielding:Wuerth_36103205_20x20mm","~"
"","","J10","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J12","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J13","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","L1","470nH","Device:L","Inductor_SMD:L_1008_2520Metric","~"
"","","L2","2.2uH","Device:L","Inductor_SMD:L_TracoPower_TCK-047_5.2x5.8mm","~"
"","","L3","10uH","Device:L","Inductor_SMD:L_Bourns_SRN8040TA","~"
"","","L4","2.2uH","Device:L","Inductor_SMD:L_TracoPower_TCK-047_5.2x5.8mm","~"
"","","R1","10mOhms","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","10mOhms","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R3","10","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R4","10","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R5","10","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R6","10","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R7","2.4M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R8","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R9","240K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
